Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Globalization.Calendars 4.3.0,,,,,"System.Globalization.Calendars, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.IO.Compression.ZipFile 4.3.0,,,,,"System.IO.Compression.ZipFile, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.IO.FileSystem 4.3.0,,,,,"System.IO.FileSystem, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Linq 4.3.0,,,,,"System.Linq, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Linq.Expressions 4.3.0,,,,,"System.Linq.Expressions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Net.Primitives 4.3.1,,,,,"System.Net.Primitives, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Net.Sockets 4.3.0,,,,,"System.Net.Sockets, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.ObjectModel 4.3.0,,,,,"System.ObjectModel, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Reflection 4.3.0,,,,,"System.Reflection, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Reflection.Extensions 4.3.0,,,,,"System.Reflection.Extensions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Reflection.Primitives 4.3.0,,,,,"System.Reflection.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Resources.ResourceManager 4.3.0,,,,,"System.Resources.ResourceManager, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Runtime 4.3.1,,,,,"System.Runtime, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Runtime.Extensions 4.3.1,,,,,"System.Runtime.Extensions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Runtime.InteropServices 4.3.0,,,,,"System.Runtime.InteropServices, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Runtime.InteropServices.RuntimeInformation 4.3.0,,,,,"System.Runtime.InteropServices.RuntimeInformation, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Runtime.Numerics 4.3.0,,,,,"System.Runtime.Numerics, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Security.Cryptography.Algorithms 4.3.1,,,,,"System.Security.Cryptography.Algorithms, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Security.Cryptography.Encoding 4.3.0,,,,,"System.Security.Cryptography.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Security.Cryptography.Primitives 4.3.0,,,,,"System.Security.Cryptography.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Security.Cryptography.X509Certificates 4.3.2,,,,,"System.Security.Cryptography.X509Certificates, 4.3.2  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Text.Encoding 4.3.0,,,,,"System.Text.Encoding, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,LSLBridge\LSLBridge.csproj,File,LSLBridge\LSLBridge.csproj,,,System.Text.Encoding.Extensions 4.3.0,,,,,"System.Text.Encoding.Extensions, 4.3.0  Recommendation:  Package functionality included with new framework reference"
